pipeline,page_instances,accuracy,macro_f1,needs_review_rate,mean_latency_seconds
hybrid,96,1.0,1.0,0.0,0.9173150851875059
image_only,96,0.8333333333333334,0.8933333333333333,0.0,0.015804346104167404
rule_only,96,1.0,1.0,0.0,0.9077416601979138
