source_id,title,authority,source_url,local_path,usage,retrieved_at_utc,size_bytes,sha256,page_count,encrypted,pdf_title,pdf_creator,pdf_producer,has_xfa,form_field_count,notes
FDA_1571,Investigational New Drug Application (IND),U.S. Food and Drug Administration,https://www.fda.gov/media/123543/download?attachment=,data/raw/fda_forms/FDA_1571.pdf,source_template,2026-07-27T05:40:36.362118+00:00,2919985,24adbff94268d02b4d23a85a0dc8b3f0f214326bdff11942d810d59755aeba4b,1,True,FORM FDA 1571,Adobe LiveCycle Designer 11.0,Adobe LiveCycle Designer 11.0,True,0,Dynamic Adobe LiveCycle/XFA PDF; non-Adobe renderers may display a placeholder page.
FDA_1572,Statement of Investigator,U.S. Food and Drug Administration,https://www.fda.gov/media/71816/download?attachment=,data/raw/fda_forms/FDA_1572.pdf,source_template_and_ocr_benchmark,2026-07-27T05:40:36.362118+00:00,1358444,ee666d77a034b4f4cc474fe99b50d0bf58fb57f4fecf26971682bc60cea40391,2,True,FORM FDA 1572,PScript5.dll Version 5.2.2,Acrobat Distiller 9.0.0 (Windows),False,740,
FDA_3454,Certification - Financial Interests and Arrangements of Clinical Investigators,U.S. Food and Drug Administration,https://www.fda.gov/media/70465/download?attachment=,data/raw/fda_forms/FDA_3454.pdf,source_template_and_checkbox_benchmark,2026-07-27T05:40:36.362118+00:00,1514728,aa5ea997b27393cb6ccb0bd8b6c37481e8b89fce683c0b60b82e481628f1992b,1,True,FORM FDA 3454,Designer 6.5,Designer 6.5,True,28,
FDA_3455,Disclosure - Financial Interests and Arrangements of Clinical Investigators,U.S. Food and Drug Administration,https://www.fda.gov/media/69872/download?attachment=,data/raw/fda_forms/FDA_3455.pdf,source_template_and_checkbox_benchmark,2026-07-27T05:40:36.362118+00:00,705524,452fabfcec11d63927521e7bacaaf23818584e9a953ed999295eae0509b1a0d4,1,True,FORM FDA 3455,Adobe LiveCycle Designer 11.0,Adobe LiveCycle Designer 11.0,True,19,
