preprocessing,field_count,raw_exact_match_accuracy,validated_exact_match_accuracy,mean_character_accuracy,mean_character_error_rate,mean_ocr_confidence,total_field_latency_seconds
adaptive,90,0.9444444444444444,1.0,1.0,0.0,93.82223333333333,8.8597
raw,90,0.9444444444444444,1.0,1.0,0.0,93.10759999999999,9.8082
