workflow,sample,document_id,status,page_count,page_labels,field_count,checkbox_count,field_exact_match,checkbox_accuracy,table_count,redaction_candidate_count,needs_review_count,api_reported_processing_seconds,client_observed_processing_seconds,review_apply_seconds,downloads_checked,download_bytes,reviewed_redacted_count,reviewed_review_count,reviewed_retained_count,reviewed_ignored_count,health_status,table_exact_grid_shape,table_cell_exact_match,table_mean_character_error_rate
fda_form_review,data/processed/populated_forms/flattened/FDA_1572_NCT04796896.pdf,FDA_1572_NCT04796896-a723b37a86213eba,NEEDS_REVIEW,2,FDA_1572;FDA_1572,28,4,1.0,1.0,0,29,5,11.080653544000143,11.09280641700002,0.2090422229998694,7,6397741,24,5,0,0,ok,,,
clinical_table_review,data/processed/table_benchmark/images/NCT04796896_p116_t0.png,NCT04796896_p116_t0-f9985653719f929d,COMPLETED,1,CLINICAL_TABLE,0,0,,,1,0,0,1.816163523999876,1.8186299409999265,0.0,7,1218892,0,0,0,0,ok,True,0.5666666666666667,0.18727863271095385
